PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50
S31	-1.543	1.19	0.641	-0.037	-0.005	-0.805	-0.292	-0.141	0.055	-0.056	0.097	0.184	-0.4	-0.063	0.514	0.17	-0.134	0.13	-0.274	0.046	-0.016	-0.138	-0.158	0.02	0.209	0.017	0.038	0.107	0.008	-0.11	0.024	0.033	-0.071	0.039	0.031	-0.152	-0.096	-0.126	-0.075	0.03	0.073	-0.051	0.082	0.059	0.032	0.046	-0.063	-0.059	-0.053	-0.097
S53	1.754	-0.826	0.815	-0.133	-0.244	-0.137	-0.113	-0.061	0.073	-0.113	0.049	0.163	-0.238	0.065	-0.227	-0.009	0.072	-0.117	-0.149	0.221	0.011	0.103	-0.189	0.105	-0.049	-0.088	0.084	-0.08	0.111	0.048	-0.051	0.044	-0.052	-0.11	-0.025	-0.16	-0.09	0.049	0.168	-0.017	0.016	-0.004	0.105	0.054	0.126	0.039	-0.033	-0.093	-0.033	0.235
S189	1.572	-0.512	0.528	0.19	0.603	0.515	-0.456	-0.132	-0.287	-0.138	0.012	-0.144	-0.077	0.297	0.318	-0.032	0.269	-0.285	-0.163	0.005	0.081	0.102	0.065	0.021	0.051	0.1	-0.179	0.078	0.123	0.134	0.06	-0.056	-0.045	0.051	-0.168	0.1	0.008	0.074	0.029	-0.005	0.07	-0.069	-0.012	-0.093	0.106	-0.032	0.006	0.121	0.004	-0.079
S184	1.566	-0.629	0.108	0.202	0.208	0.709	-0.077	0.008	-0.182	-0.122	-0.268	-0.049	-0.223	0.147	0.031	-0.127	-0.052	0.082	-0.058	-0.015	0.031	0.147	0.184	0.021	-0.025	-0.261	-0.019	0.155	0.187	0.094	0.028	0.069	0.1	0.011	-0.222	-0.022	-0.01	0.013	-0.055	-0.044	-0.022	-0.089	0.177	-0.289	0.017	0.013	0.171	0.108	0.09	0.045
S45	-2.44	-1.174	0.355	0.254	-0.217	0.761	0.317	0.185	0.009	0.2	0.567	0.458	-0.017	0.006	-0.103	0.051	0.329	-0.086	0.094	0.124	-0.057	-0.053	-0.105	-0.098	-0.15	-0.037	0.127	0.039	0.192	0.089	-0.09	0.096	-0.198	-0.129	-0.057	0.068	0.007	0.288	0.165	-0.004	-0.036	0.068	0.157	0.004	0.077	-0.077	-0.037	0.029	0.033	-0.029
S49	1.645	-0.241	0.788	-0.191	-0.161	-0.028	-0.071	-0.016	-0.31	-0.016	-0.247	0.098	0.122	-0.006	0.006	-0.027	0	0.059	-0.074	-0.157	-0.216	0.026	-0.034	0.108	-0.151	0.186	0.109	0.042	-0.016	-0.004	-0.076	0.107	-0.093	-0.047	0.051	0.018	0.049	0.005	-0.039	0.075	0.119	0.037	-0.043	-0.081	-0.125	0.061	0.087	0.029	0.035	0.118
S170	1.533	-1.148	1.392	0.099	0.089	-0.518	-0.167	0.243	0.278	-0.061	0.166	-0.087	0.08	-0.097	0.081	-0.079	0.003	0.04	0.031	-0.115	0.108	0.17	0.157	-0.028	-0.069	-0.073	-0.071	0.074	-0.056	-0.115	-0.029	0.02	-0.003	0.049	0.002	0.103	-0.027	0.011	-0.12	0.122	0.013	0.102	0.031	-0.038	0.037	-0.001	0.055	-0.071	-0.02	-0.015
S10	-3.442	-2.009	-0.208	-1.494	0.49	-0.151	0.094	-0.315	0.121	-0.003	-0.208	0.109	-0.084	0.12	0.035	-0.048	0.015	0.009	-0.037	-0.095	0.055	0.017	-0.041	0.056	-0.129	-0.069	0.039	-0.194	-0.031	0.042	-0.182	-0.203	0.119	0.076	0.071	0.004	-0.181	0.079	0.134	0.053	0.093	0.072	0.14	0.111	-0.291	-0.017	-0.059	0.101	-0.109	-0.048
S221	-0.987	1.093	-0.862	-0.004	0.113	-0.946	-0.004	0.232	-0.103	-0.523	-0.016	-0.114	0.077	-0.008	-0.099	-0.218	-0.067	-0.083	-0.04	0.046	0.08	-0.037	-0.117	-0.125	-0.065	0.075	-0.005	-0.022	0.066	-0.025	0.064	0.076	-0.021	0.002	0.006	0.045	-0.15	-0.07	-0.005	-0.001	0.074	0.028	0.042	0.005	0.019	-0.008	-0.013	0.012	-0.072	-0.052
S82	1.585	-1.024	-1.526	0.036	-0.609	-0.088	-0.233	-0.331	-0.168	0.05	-0.098	-0.096	-0.219	-0.153	0.06	0.167	0.013	-0.089	0.046	0.2	0.134	0.053	-0.14	0.095	-0.256	-0.04	-0.031	-0.094	0.082	0.064	-0.096	-0.008	-0.054	-0.034	0.113	-0.061	-0.076	-0.022	-0.012	0.003	-0.13	-0.073	0.038	0.088	-0.044	-0.041	0.016	-0.055	-0.113	-0.19
S19	-3.578	-1.398	-0.235	-0.341	-0.354	0.491	-0.169	0.133	-0.471	-0.021	0.081	-0.15	0.431	0.057	-0.109	-0.209	0.053	0.057	0.304	-0.004	0.008	-0.061	0.108	-0.237	-0.169	-0.066	0.042	-0.105	-0.013	0.103	0.042	0.268	0.233	-0.123	0.136	0.091	0.041	-0.154	0.002	-0.208	-0.047	0.016	-0.021	-0.098	0.151	0.031	0.018	0.045	0.066	0.048
S86	1.443	-1.052	1.147	-0.112	-0.293	-0.593	-0.083	-0.08	0.185	-0.345	0.332	-0.475	0.15	-0.056	0.193	-0.146	-0.029	0.197	0.309	-0.244	0.129	-0.077	0.225	-0.046	0.188	0.022	0	0.116	-0.103	-0.122	0.106	-0.078	0.062	-0.056	-0.008	-0.057	-0.097	-0.021	0.097	0.029	0.195	-0.012	-0.027	-0.013	-0.108	-0.076	0.152	0.127	-0.009	-0.091
S102	-0.892	1.127	-0.142	0.836	0.056	-0.185	-0.222	-0.559	0.371	-0.258	-0.197	-0.455	0.092	-0.208	-0.161	0.096	-0.07	0.044	-0.156	0.004	-0.026	-0.063	0.146	-0.199	-0.219	0.08	-0.22	0.048	0.172	0.236	0.006	0.135	0.204	0.099	-0.231	-0.315	0.049	-0.056	0.046	-0.207	-0.114	-0.093	-0.053	-0.018	-0.053	0.16	0.032	0.023	-0.057	0.12
S83	1.476	-0.542	0.588	-0.435	-0.487	0.186	0.624	0.442	0.134	-0.076	-0.218	0.175	-0.144	-0.03	0.103	0.199	-0.167	-0.137	-0.058	0.122	0.057	0.024	0.006	0.069	-0.064	-0.006	-0.019	-0.053	-0.051	-0.075	-0.213	0.076	-0.068	-0.082	0	0.038	-0.113	-0.081	0.007	-0.092	0.01	-0.066	0.054	-0.084	-0.095	0.071	-0.2	0.002	0.001	-0.061
S194	0.802	-0.775	0.541	0.516	0.644	0.056	0.048	-0.154	-0.122	-0.288	-0.061	-0.059	-0.345	0.028	-0.202	-0.085	-0.012	0.026	0.269	-0.104	0.236	-0.238	0.139	0.015	0.128	-0.027	-0.238	0.175	0.25	0.067	-0.022	-0.11	0.024	-0.127	-0.116	-0.168	-0.056	-0.001	0.053	-0.054	0.027	-0.051	0.038	-0.208	0.055	0.05	0.158	0.002	0.044	-0.014
S68	1.603	-0.875	-1.471	0.021	-0.675	0.114	-0.392	-0.366	-0.072	-0.083	0.062	-0.088	-0.121	-0.142	0.201	0.075	-0.168	-0.055	0.118	0.056	0.089	0.127	-0.082	-0.029	-0.327	0.051	-0.05	-0.013	0.042	-0.011	-0.147	0.023	0.106	-0.234	0.019	0.196	-0.074	-0.125	-0.098	0.097	-0.096	-0.091	0.131	-0.012	-0.079	0.053	0.089	0.039	-0.017	-0.055
S147	1.499	-0.371	-0.119	0.031	-0.256	0.395	0.265	0.19	-0.065	-0.041	-0.476	-0.212	-0.138	0.093	-0.159	0.109	-0.125	0.071	0.187	0.04	0.122	0.032	-0.114	-0.127	-0.092	-0.245	-0.2	0.001	-0.148	-0.176	0.052	0.252	-0.056	0.058	-0.167	-0.031	0.034	-0.179	0.005	-0.025	0.038	0.074	0.062	-0.003	-0.114	0.056	-0.057	0.041	-0.121	-0.093
S11	-3.426	-2.628	-0.449	-2.239	0.892	-0.101	0.423	-0.911	0.293	-0.344	-0.323	-0.085	0.066	0.124	0.185	0.104	-0.083	-0.073	0.213	0.115	0.008	-0.013	0.035	-0.178	-0.095	0.053	-0.109	0.154	-0.047	0.196	-0.015	0.037	0.032	-0.055	-0.072	-0.088	0.252	0.011	-0.057	0.166	0.029	0.099	-0.037	-0.207	0.11	-0.101	-0.093	-0.023	0.075	-0.11
S20	-3.129	-0.64	-0.118	0.302	-0.431	0.048	-0.336	-0.026	-0.182	0.223	-0.174	-0.094	0.026	0.197	-0.32	-0.085	0.023	-0.125	0.035	-0.132	0.24	0.088	-0.078	-0.103	-0.099	0.005	-0.027	-0.134	-0.144	0.147	-0.054	-0.04	0.249	-0.007	0.026	0.009	0.023	0.052	0.005	-0.166	0.041	-0.039	-0.003	-0.036	0.049	-0.03	-0.043	0.127	-0.187	0.019
S32	-2.867	0.073	0.161	-0.014	-0.341	-0.386	-0.369	0.285	-0.146	-0.093	0.179	0.192	-0.267	0.171	0.316	0.156	-0.252	0.097	-0.155	-0.07	-0.085	-0.029	-0.025	-0.014	-0.063	-0.07	0.209	0.043	0.129	0.187	-0.174	-0.093	-0.191	-0.073	-0.072	-0.028	0.054	0.061	-0.02	-0.016	-0.086	0.024	-0.002	0.115	-0.008	-0.045	0.009	-0.044	0.124	-0.17
S30	-3.193	-0.5	0.069	-0.157	-0.201	-0.368	-0.181	0.502	-0.143	-0.077	-0.053	0.11	-0.29	0.183	0.202	-0.042	-0.048	-0.024	-0.178	-0.062	-0.05	-0.103	-0.033	0.069	-0.082	-0.162	0.126	-0.242	-0.018	-0.002	-0.209	-0.14	0.072	0.085	0.061	-0.042	-0.066	0.146	0.152	-0.082	-0.021	0.134	0.008	0.051	-0.056	-0.01	-0.152	0.034	-0.016	0.003
S209	1.648	-0.724	1.126	-0.095	0.001	-0.38	0.066	0.094	-0.186	-0.112	0.006	-0.07	0.021	-0.089	-0.018	-0.02	-0.038	0.045	0.009	0.019	0.051	-0.137	-0.074	0.044	0.002	-0.123	0.032	0.097	0.056	-0.059	-0.049	0.03	-0.013	-0.079	-0.017	-0.071	-0.091	0.085	-0.032	-0.016	0.128	-0.082	-0.037	-0.131	-0.108	-0.07	-0.134	0.127	0.006	-0.041
S44	-3.213	-1.143	0.295	0.171	-0.37	0.649	-0.145	-0.018	-0.374	0.296	0.109	-0.142	0.304	0.004	-0.027	-0.1	0.03	0.179	0.343	-0.024	0.263	0.065	-0.123	-0.234	0.027	0.049	0.081	-0.011	0.045	0.093	-0.138	0.107	0.15	0.074	-0.025	-0.263	0.249	-0.214	0.045	0.063	-0.037	0.087	-0.129	-0.013	0.031	-0.079	0.211	-0.129	-0.044	0.017
S181	0.576	1.035	0.545	-0.209	0.085	-0.065	-0.234	-0.129	0.231	0.275	-0.001	0.113	0.16	-0.248	-0.071	0.146	0.021	0.127	0.057	-0.233	-0.046	-0.163	0.113	-0.14	0.052	0.054	-0.065	0.063	0.101	-0.077	-0.077	-0.011	0.065	0.068	0.102	-0.031	-0.134	0.049	0.168	0.109	0.06	0.046	0.055	-0.035	-0.006	-0.049	-0.012	0.018	0.039	0.086
S166	0.65	1.243	0.093	-0.855	0.418	-0.092	-0.491	0.131	0.01	0.247	0.216	-0.057	0.041	0.085	0.278	0.023	0.02	0.106	0.048	0.164	-0.056	-0.101	0.004	-0.155	-0.155	0.082	0.078	-0.006	-0.051	-0.051	0.037	0.069	-0.056	-0.088	0.011	-0.031	-0.028	-0.023	-0.026	0.003	0.028	-0.089	-0.084	0.185	-0.002	-0.087	-0.016	-0.005	-0.005	-0.143
S150	0.288	1.506	-0.193	-0.959	-0.018	-0.03	-0.365	0	0.347	0.454	0.404	-0.039	0.052	-0.043	0.122	0.099	0.076	0.122	0.144	0.118	-0.043	-0.141	0.055	0.149	-0.126	-0.067	-0.106	-0.074	0.025	-0.133	-0.034	0.226	-0.011	-0.015	0.064	0.023	0.05	-0.075	0.025	-0.095	0.021	0.058	0.04	0.097	0.118	0.085	-0.093	0.013	0.049	-0.007
S182	1.194	-0.25	0.301	0.354	1.019	0.499	-0.518	0.118	-0.326	-0.218	-0.216	-0.122	0.206	0.246	0.097	-0.036	0.004	-0.02	0.086	-0.115	-0.091	0.102	0.225	-0.106	-0.077	-0.083	-0.118	0.105	-0.159	0.025	-0.015	0.11	0.126	0.043	-0.142	0.12	0.008	0.055	0.11	0.051	0.061	-0.121	0.073	-0.127	0.055	0.077	0.122	-0.002	-0.034	-0.178
S176	1.446	-0.624	-0.106	0.401	0.226	0.558	-0.136	-0.588	-0.424	-0.16	0.045	-0.245	-0.455	0.116	0.074	-0.203	0.252	0.014	-0.033	0.112	-0.039	0.087	0.156	-0.073	-0.008	-0.232	-0.239	-0.044	0.41	-0.043	0.014	-0.058	-0.017	-0.07	-0.022	0.102	0.165	-0.08	-0.046	-0.137	-0.145	-0.093	0.045	-0.182	-0.07	-0.095	-0.084	0.105	0.055	-0.067
