PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50
S125	0.394	-0.518	-1.706	1.147	0.373	-0.52	0.584	0.152	-0.03	0.38	-0.034	0.044	0.087	-0.084	0.109	-0.135	-0.068	0.001	-0.01	-0.147	-0.192	0.051	-0.001	-0.114	-0.016	0.016	0.051	0.053	-0.019	-0.086	-0.022	-0.021	0.134	0.079	0.031	-0.123	-0.002	0.031	0.129	0.084	-0.057	-0.048	-0.026	0.142	0.038	-0.001	0.041	-0.054	0.082	0.125
S196	0.61	-0.085	1.018	0.148	0.387	-0.134	0.264	0.061	-0.147	0.129	-0.061	0.237	-0.174	-0.121	-0.022	0.043	-0.187	-0.028	0.31	-0.114	0.108	-0.245	0.158	-0.054	0.123	0.098	-0.177	-0.029	0.324	-0.09	-0.028	-0.145	0.055	-0.054	0.069	-0.136	0.02	-0.069	-0.024	0.055	0.037	-0.01	0.182	-0.099	-0.224	0.128	0.133	0.003	0.052	-0.12
S204	1.637	-0.874	0.669	-0.112	-0.377	-0.107	0.149	-0.104	-0.194	-0.143	0.042	0.086	-0.082	0.017	-0.003	-0.013	-0.176	0.041	-0.078	0.036	0.051	-0.017	0.008	0.007	-0.298	-0.193	-0.006	0.02	-0.098	0.04	-0.146	0.042	-0.316	-0.102	-0.134	-0.098	-0.161	0.183	0.023	-0.056	0.154	-0.044	-0.031	0.008	0.009	0.079	0.023	0.041	0.141	-0.027
S111	-3.038	-0.617	0.168	0.363	-0.668	0.649	0.067	0.241	0.039	0.045	0.328	0.139	0.15	0.064	-0.085	-0.18	-0.111	-0.142	0.321	0.061	0.099	-0.118	-0.065	-0.057	-0.071	-0.2	0.022	0.054	-0.065	0.048	-0.044	-0.023	-0.098	0.014	-0.079	-0.046	0.226	-0.051	-0.021	0.071	-0.049	0.041	-0.123	-0.004	0.254	-0.132	0.025	-0.067	0.022	-0.059
S116	0.944	0.844	-0.25	-0.618	-0.221	0.74	-0.076	0.016	0.132	0.083	-0.07	-0.181	0.148	-0.128	0.287	0.007	-0.092	-0.07	0.001	-0.193	-0.155	0.122	0.021	-0.001	-0.026	0.084	-0.193	0.068	-0.034	-0.156	-0.074	0.068	0.119	0.064	0.037	0.016	-0.065	0.021	0.002	-0.011	-0.13	-0.014	0.043	0.031	0.163	-0.082	0.073	-0.024	0.002	0.01
S132	0.201	-0.886	-1.911	1.463	0.66	-0.347	0.907	-0.03	-0.094	0.481	0.036	-0.143	0.161	0.174	0.041	0.081	0.211	0.076	0.098	0.025	-0.159	0.095	-0.11	0.011	-0.013	0.012	0.138	0.025	-0.017	-0.141	0.026	-0.024	-0.049	0.061	-0.131	-0.069	0.026	0.024	0.014	-0.027	-0.106	-0.112	-0.022	-0.012	0.112	-0.019	0.004	-0.013	0.04	0.078
S135	1.026	-0.403	-2.004	0.555	0.184	-0.27	0.104	0.158	-0.061	0.226	-0.166	0.036	0.173	-0.177	0.092	-0.002	-0.077	0.214	0.087	-0.235	-0.032	-0.105	-0.019	-0.047	0.1	0.186	-0.154	0.021	-0.035	-0.062	-0.007	-0.062	0.095	0.044	0	0.094	0.075	0.044	0.168	0.012	-0.077	-0.038	-0.027	0.141	0.22	0.129	-0.073	0.042	-0.012	-0.035
S190	1.604	-0.652	-0.207	0.057	0.262	0.586	-0.324	0.168	0.044	-0.211	0.036	-0.18	-0.013	0.145	0.147	0.113	0.14	-0.124	0.027	-0.136	-0.026	0.28	0.201	-0.109	0.112	-0.015	-0.134	0.09	0.084	-0.065	-0.09	-0.037	0.018	0.078	-0.069	-0.007	-0.148	-0.06	-0.026	0.032	-0.022	-0.051	0.198	0.01	0.001	-0.057	0.036	-0.014	0.02	-0.088
S103	1.266	-0.197	-0.532	0.031	-0.375	0.532	-0.008	-0.773	-0.437	-0.141	0.085	-0.108	-0.574	0.208	-0.578	-0.372	-0.084	-0.011	-0.087	0.177	-0.197	0.003	-0.224	-0.136	-0.283	-0.475	-0.143	0.148	0.134	-0.071	-0.058	-0.142	0.038	-0.219	0.061	0.04	0.129	-0.111	0.106	-0.184	-0.099	0.158	-0.01	-0.069	0.014	-0.11	0.094	-0.098	-0.03	0.033
S202	1.341	-0.017	0.573	-0.19	0.363	0.003	-0.163	0.452	-0.115	0.093	-0.287	0.315	0.227	-0.106	0.087	-0.016	-0.138	-0.032	0.157	-0.103	0.15	-0.139	0.011	0.046	-0.071	0.082	-0.054	0.054	-0.116	-0.039	-0.178	0.033	0.057	-0.096	-0.035	-0.053	-0.081	0.004	0.004	0.087	0.065	0.032	-0.06	-0.037	-0.135	-0.08	0.124	-0.232	-0.072	0.022
S180	0.902	-0.021	0.281	0.421	0.232	-0.106	0.249	0.058	-0.074	-0.127	-0.028	0.106	0.014	-0.199	-0.152	-0.039	-0.036	-0.074	-0.131	0.013	-0.094	-0.068	0.026	-0.253	0.035	0.011	-0.198	0.061	-0.018	0.046	0.074	-0.061	0.08	-0.081	0.094	0.132	0.058	-0.018	0.154	-0.092	0.035	-0.028	0.024	-0.004	0.038	0.007	0.047	-0.007	-0.085	0.002
S100	-0.38	1.258	0.054	0.266	0.428	0.35	0.03	-0.348	0.33	-0.17	0.267	-0.035	0.011	-0.315	-0.081	0.055	-0.271	-0.142	-0.03	0.002	0.115	-0.231	-0.074	0.249	0.088	-0.247	-0.008	0.083	-0.023	0.17	0.108	-0.007	-0.006	0.006	-0.016	-0.168	0.026	-0.023	0.058	-0.056	-0.14	-0.157	0.024	0.076	-0.193	0.138	0.051	0.042	0.043	0.057
S145	1.597	-0.176	0.404	-0.261	0.093	-0.046	-0.262	0.432	0.069	0.022	-0.263	0	0.299	0.046	0.012	0.227	0.023	-0.076	0.093	-0.029	0.063	-0.011	-0.015	-0.163	-0.25	0.149	-0.072	0.137	-0.119	-0.071	0.053	0.023	0.032	0.089	0.125	0.055	-0.079	-0.046	-0.168	0.05	0.02	0.148	0.044	-0.001	0.031	0.027	0.171	0.067	-0.136	-0.035
S81	1.602	-1.033	-1.517	0.455	-0.209	-0.082	-0.464	-0.087	0.112	0.038	-0.119	0.175	-0.126	-0.202	0.236	0.033	-0.074	-0.074	0.116	0.038	0.1	0.004	0.163	0.138	-0.19	-0.069	0.116	-0.049	-0.132	0.14	-0.13	0.114	0.038	-0.011	0.054	0.021	0.043	-0.17	0.083	0.041	0.068	0.078	0.018	0.051	0.001	-0.05	-0.093	-0.045	0.105	0.065
S77	1.534	-1.243	-1.809	0.164	-0.421	0.102	-0.654	-0.293	-0.092	-0.227	0.064	-0.052	-0.052	-0.215	0.192	0.012	-0.197	-0.135	0.244	0.109	0.274	0.02	-0.105	-0.01	-0.161	-0.077	0.058	-0.012	0.042	-0.076	-0.143	0.092	0.032	-0.036	-0.005	-0.013	-0.12	-0.196	-0.076	0.103	0.07	0.017	0.188	-0.166	0.007	0.029	0.067	0.12	-0.045	-0.074
S5	-1.221	1.265	-0.242	0.132	-0.186	-0.834	-0.035	-0.099	0.025	-0.289	-0.072	0.19	-0.04	0.1	-0.097	0.021	0.094	-0.006	-0.159	-0.006	0.018	0.269	-0.02	-0.041	-0.079	-0.01	0.032	0.225	0.048	0.219	-0.062	-0.01	-0.111	0.069	0.056	0.09	-0.015	0.038	0.043	-0.019	0.007	-0.026	-0.116	-0.024	0.106	0.034	0.033	-0.075	-0.063	0.018
S163	-0.048	1.597	0.27	-1.056	-0.251	-0.394	-0.14	-0.027	0.383	0.24	0.222	0.014	-0.03	0.07	0.275	0.202	0.104	0.16	0.178	-0.095	-0.063	-0.097	0.033	-0.087	-0.081	-0.131	-0.045	0.092	0.164	-0.154	-0.145	0.035	-0.084	0.056	0.019	-0.17	0.029	-0.203	-0.234	0.01	0.171	0.017	0.037	-0.017	0.164	0.037	0.007	-0.024	0.054	0.036
S169	1.58	-0.236	-0.352	-0.335	-0.587	0.417	0.284	0.19	-0.107	-0.007	-0.453	0.172	0.073	0.228	-0.273	0.139	0.024	0.171	-0.146	0.04	-0.058	-0.134	0.02	-0.021	-0.018	0.011	0.084	-0.004	-0.051	-0.027	-0.067	0.003	-0.142	0.093	0.153	-0.024	0.031	0.104	-0.018	-0.061	0.012	-0.081	0.075	-0.102	0.023	-0.064	0.069	-0.116	-0.05	-0.112
S43	-1.452	0.725	0.482	0.79	0.48	0.355	-0.016	-0.175	0.013	-0.377	0.091	0.04	-0.069	-0.355	0.189	0.187	-0.27	-0.033	0.039	0.283	0.096	-0.123	-0.043	-0.082	0.01	0.032	-0.017	0.032	-0.115	-0.044	0.049	0.049	-0.19	-0.061	0.092	-0.094	0.025	0.061	0.033	0.128	-0.064	0.057	0.128	0.19	-0.087	0.024	0.082	0.046	-0.027	-0.073
S48	1.658	-1.099	0.571	-0.201	-0.176	-0.299	-0.12	-0.101	-0.144	-0.307	0.138	-0.037	-0.04	0.17	-0.162	0.041	-0.224	-0.041	0.154	0.138	0.056	-0.099	-0.001	0.018	-0.311	0.125	0.229	-0.065	-0.083	-0.123	-0.025	0.153	-0.171	-0.046	-0.032	-0.006	-0.188	-0.16	-0.132	-0.255	0.052	0.009	0.089	-0.216	0.165	-0.091	-0.024	0.282	0.052	-0.199
S216	-0.6	1.318	-0.975	-0.727	0.169	-0.939	-0.419	0.086	-0.152	-0.219	0.266	-0.013	0.345	-0.007	-0.238	-0.349	-0.189	0.069	0.071	0	-0.05	0.187	-0.064	-0.168	-0.138	0.016	-0.035	-0.047	0.048	0.033	0.152	-0.103	-0.13	0.142	-0.156	0.033	-0.244	0.031	0.075	0.026	-0.027	-0.038	0.011	0.148	0.032	-0.031	0.098	0.005	-0.165	-0.064
S119	1.274	-0.307	-1.546	0.457	-0.184	-0.389	0.039	-0.033	0.059	0.207	-0.104	0.036	0.282	-0.128	-0.171	0.13	0.102	0.066	0.051	-0.037	-0.129	0.021	0.032	-0.04	-0.049	0.074	-0.171	-0.04	-0.002	-0.088	0.053	-0.069	-0.015	-0.014	0.142	-0.095	0.072	0.031	-0.015	-0.1	0.036	0.129	0.075	-0.138	0.132	0.044	-0.01	0.06	-0.041	0.077
S151	-1.198	1.505	-0.443	-0.286	0.056	-0.781	-0.328	0.013	0.123	-0.003	0.157	0.056	0.179	-0.003	0.002	0.043	0.063	-0.07	-0.049	0.001	-0.046	0.004	0.164	0.107	-0.063	-0.008	0.002	0.063	0.125	0.102	0.056	0.02	0.04	0.006	0.139	-0.168	-0.034	-0.087	0.024	0.161	-0.073	0.05	-0.101	0.005	0.075	-0.002	0.073	0.173	-0.182	0.01
